id,product_id,product_sku,variant_sku,color,size,ean,upc,price,stock,warehouse_code,weight_grams,status
1,1,ZL00001,ZL00001-GOLD-M,Gold,M,8883740171962,883740171962,22.63,44,WH-SG-EAST,4373,ACTIVE
2,1,ZL00001,ZL00001-BEIGE-M,Beige,M,8882541323655,882541323655,27.11,93,WH-SG-EAST,7567,ACTIVE
3,1,ZL00001,ZL00001-MINT-M,Mint,M,8887056900322,887056900322,24.4,118,WH-SG-EAST,6241,ACTIVE
4,2,ZL00002,ZL00002-IVORY-XXL,Ivory,XXL,8880132055008,880132055008,56.23,20,WH-TH-BKK,6956,ACTIVE
5,2,ZL00002,ZL00002-NAVY-S,Navy,S,8889491507234,889491507234,60.66,49,WH-TH-BKK,6292,ACTIVE
6,2,ZL00002,ZL00002-OLIVE-XXL,Olive,XXL,8884712003243,884712003243,60.66,59,WH-TH-BKK,4159,ACTIVE
7,3,ZL00003,ZL00003-MAROON-XXL,Maroon,XXL,8883397231026,883397231026,114.12,10,WH-ID-JKT,1443,ACTIVE
8,3,ZL00003,ZL00003-GRAPHI-XL,Graphite,XL,8880528344037,880528344037,112.66,104,WH-ID-JKT,1173,ACTIVE
9,3,ZL00003,ZL00003-BEIGE-XS,Beige,XS,8887415392522,887415392522,115.12,68,WH-ID-JKT,2100,ACTIVE
10,3,ZL00003,ZL00003-GRAPHI-XXL,Graphite,XXL,8882221474479,882221474479,106.62,60,WH-ID-JKT,2745,ACTIVE
11,4,ZL00004,ZL00004-ROSE-G-XXL,Rose Gold,XXL,8881150395282,881150395282,92.69,54,WH-MY-KL,3046,ACTIVE
12,4,ZL00004,ZL00004-GREY-XXL,Grey,XXL,8880206410375,880206410375,90.99,31,WH-MY-KL,1275,ACTIVE
13,4,ZL00004,ZL00004-IVORY-S,Ivory,S,8889303250303,889303250303,92.63,110,WH-MY-KL,1644,ACTIVE
14,4,ZL00004,ZL00004-TEAL-S,Teal,S,8880304106200,880304106200,88.71,69,WH-MY-KL,281,ACTIVE
15,4,ZL00004,ZL00004-TEAL-XS,Teal,XS,8883048631120,883048631120,97.89,118,WH-MY-KL,3912,ACTIVE
16,4,ZL00004,ZL00004-IVORY-L,Ivory,L,8885734545216,885734545216,89.86,62,WH-MY-KL,7926,ACTIVE
17,4,ZL00004,ZL00004-GREY-S,Grey,S,8880082682286,880082682286,90.34,51,WH-MY-KL,1000,ACTIVE
18,5,ZL00005,ZL00005-NAVY-S,Navy,S,8888539221095,888539221095,117.27,76,WH-SG-WEST,691,ACTIVE
19,5,ZL00005,ZL00005-SAND-XS,Sand,XS,8881008170108,881008170108,121.0,53,WH-SG-WEST,5223,ACTIVE
20,5,ZL00005,ZL00005-NAVY-XS,Navy,XS,8882310404929,882310404929,124.16,26,WH-SG-WEST,5187,ACTIVE
21,5,ZL00005,ZL00005-SKY-BL-XS,Sky Blue,XS,8883011397237,883011397237,117.2,50,WH-SG-WEST,2184,ACTIVE
